workload,allocation_calls,gross_requested_bytes,peak_live_delta_bytes,end_live_delta_bytes,iterations
graph_build/chain/100,2800,215693,81519,0,100
compile/full/100,1509,96380,92208,0,100
runtime_sync/local/reusable/named/100,1001,43252,13992,0,100
runtime_sync/local/reusable/bound/100,901,42752,13992,0,100
runtime_sync/local/renderer_frame/100,1146,83336,14664,0,100
runtime_async/local/reusable/pending_once/100,901,47552,13992,0,100
runtime_async/local/reusable/mixed_80_sync_20_async/100,901,43712,13992,0,100
dispatch/mutex_mpsc_dequeue/chain/100/workers_1,905,58317,14312,0,100
dispatch/mutex_mpsc_dequeue/independent/100/workers_1,614,69564,21915,0,100
dispatch/mutex_mpsc_dequeue/chain/100/workers_8,905,58317,14312,0,100
dispatch/mutex_mpsc_dequeue/independent/100/workers_8,615,72412,23339,0,100
async_runtime/sync_chain/100/workers_1,1003,111887,14312,0,100
async_runtime/sync_independent/100/workers_1,715,129687,56489,0,100
async_runtime/async_pending_chain/100/workers_1,1009,120719,83560,0,100
async_runtime/async_wake_storm_wide/100/workers_1,724,130739,92603,0,100
async_runtime/mixed_80_sync_20_async/100/workers_1,1003,112847,14312,0,100
async_runtime/sync_chain/100/workers_8,1003,111887,14312,0,100
async_runtime/sync_independent/100/workers_8,716,141655,32522,0,100
async_runtime/async_pending_chain/100/workers_8,1009,120719,83560,0,100
async_runtime/async_wake_storm_wide/100/workers_8,722,143287,100440,0,100
async_runtime/mixed_80_sync_20_async/100/workers_8,1003,112847,14312,0,100
