workload,round,estimator,point_estimate_ns,lower_bound_ns,upper_bound_ns
runtime_sync/diagnostic_a_active_empty_fresh_100,v0.5.0-diag-r1,slope,12735.356,12603.169,12925.331
runtime_sync/diagnostic_a_active_empty_fresh_100,v0.5.0-diag-r2,slope,12897.68,12656.509,13171.206
runtime_sync/diagnostic_a_active_empty_fresh_100,v0.5.0-diag-r3,slope,12544.889,12470.803,12632.317
runtime_sync/diagnostic_a_active_empty_reusable_100,v0.5.0-diag-r1,slope,12092.031,12010.157,12190.074
runtime_sync/diagnostic_a_active_empty_reusable_100,v0.5.0-diag-r2,slope,11824.145,11757.21,11894.914
runtime_sync/diagnostic_a_active_empty_reusable_100,v0.5.0-diag-r3,slope,11908.598,11830.229,12006.414
runtime_sync/diagnostic_b_scalar_chain_fresh_bound_100,v0.5.0-diag-r1,slope,55393.748,54813.504,56101.743
runtime_sync/diagnostic_b_scalar_chain_fresh_bound_100,v0.5.0-diag-r2,slope,56121.349,55599.247,56710.593
runtime_sync/diagnostic_b_scalar_chain_fresh_bound_100,v0.5.0-diag-r3,slope,54692.757,54310.095,55148.622
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.0-diag-r1,slope,48101.054,47856.583,48343.424
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.0-diag-r2,slope,47715.641,47389.034,48110.626
runtime_sync/diagnostic_b_scalar_chain_reusable_bound_100,v0.5.0-diag-r3,slope,47312.646,47018.396,47641.627
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.0-diag-r1,slope,67072.284,66262.397,68075.497
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.0-diag-r2,slope,64466.313,64109.787,64853.578
runtime_sync/diagnostic_c_fanout_fanin_many_fresh_bound_100,v0.5.0-diag-r3,slope,67227.124,66298.839,68274.591
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.0-diag-r1,slope,59448.523,59044.366,59894.753
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.0-diag-r2,slope,59209.254,58726.625,59701.219
runtime_sync/diagnostic_c_fanout_fanin_many_reusable_bound_100,v0.5.0-diag-r3,slope,58728.386,58288.692,59265.845
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.0-diag-r1,slope,29693.59,29476.662,29944.084
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.0-diag-r2,slope,29230.77,29077.739,29392.908
runtime_sync/diagnostic_d_independent_ready_send_inline_reusable_100,v0.5.0-diag-r3,slope,29442.569,29204.569,29698.31
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.0-diag-r1,slope,56035.188,55761.132,56340.997
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.0-diag-r2,slope,55364.12,55083.345,55667.355
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_1_reusabl,v0.5.0-diag-r3,slope,56212.54,55721.962,56806.837
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.0-diag-r1,slope,63576.383,63233.828,63961.128
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.0-diag-r2,slope,63295.1,62947.544,63714.93
runtime_sync/diagnostic_d_independent_ready_send_mutex_mpsc_workers_8_reusabl,v0.5.0-diag-r3,slope,65261.305,64978.461,65556.231
