workload,round,estimator,point_estimate_ns,lower_bound_ns,upper_bound_ns
async_runtime_integration/async_pending_chain_100_workers_1,v0.5.0-r1,slope,256257.459,247086.777,266405.092
async_runtime_integration/async_pending_chain_100_workers_1,v0.5.0-r2,slope,339730.777,322867.249,360112.161
async_runtime_integration/async_pending_chain_100_workers_1,v0.5.0-r3,slope,376355.947,355111.82,397202.182
async_runtime_integration/async_pending_chain_100_workers_8,v0.5.0-r1,slope,2039378.831,2025710.154,2051821.012
async_runtime_integration/async_pending_chain_100_workers_8,v0.5.0-r2,slope,2014860.111,2002098.746,2027563.823
async_runtime_integration/async_pending_chain_100_workers_8,v0.5.0-r3,slope,2063074.768,2050842.706,2073389.928
async_runtime_integration/async_wake_storm_independent_100_workers_1,v0.5.0-r1,slope,93146.835,92572.74,93723.621
async_runtime_integration/async_wake_storm_independent_100_workers_1,v0.5.0-r2,slope,86589.018,86092.093,87173.47
async_runtime_integration/async_wake_storm_independent_100_workers_1,v0.5.0-r3,slope,86593.913,85997.187,87227.759
async_runtime_integration/async_wake_storm_independent_100_workers_8,v0.5.0-r1,slope,176576.246,175059.593,178261.624
async_runtime_integration/async_wake_storm_independent_100_workers_8,v0.5.0-r2,slope,175091.574,174118.552,176115.511
async_runtime_integration/async_wake_storm_independent_100_workers_8,v0.5.0-r3,slope,183233.561,181778.436,185016.674
async_runtime_integration/mixed_80_sync_20_async_100_workers_1,v0.5.0-r1,slope,226828.196,220378.376,233726.019
async_runtime_integration/mixed_80_sync_20_async_100_workers_1,v0.5.0-r2,slope,243319.439,230027.159,256822.254
async_runtime_integration/mixed_80_sync_20_async_100_workers_1,v0.5.0-r3,slope,258276.234,243684.541,272585.512
async_runtime_integration/mixed_80_sync_20_async_100_workers_8,v0.5.0-r1,slope,1531235.618,1520603.054,1541581.229
async_runtime_integration/mixed_80_sync_20_async_100_workers_8,v0.5.0-r2,slope,1539422.445,1528343.953,1550636.742
async_runtime_integration/mixed_80_sync_20_async_100_workers_8,v0.5.0-r3,slope,1530259.288,1517780.746,1543687.821
async_runtime_integration/sync_chain_100_workers_1,v0.5.0-r1,slope,202863.402,195898.485,211394.684
async_runtime_integration/sync_chain_100_workers_1,v0.5.0-r2,slope,339143.881,317545.722,360348.146
async_runtime_integration/sync_chain_100_workers_1,v0.5.0-r3,slope,256207.099,242829.053,270472.55
async_runtime_integration/sync_chain_100_workers_8,v0.5.0-r1,slope,1531249.17,1518706.811,1542317.923
async_runtime_integration/sync_chain_100_workers_8,v0.5.0-r2,slope,1522888.392,1515363.83,1530405.939
async_runtime_integration/sync_chain_100_workers_8,v0.5.0-r3,slope,1535509.962,1522876.703,1547561.241
async_runtime_integration/sync_independent_100_workers_1,v0.5.0-r1,slope,71357.921,70755.462,72050.785
async_runtime_integration/sync_independent_100_workers_1,v0.5.0-r2,slope,69796.402,69193.064,70715.431
async_runtime_integration/sync_independent_100_workers_1,v0.5.0-r3,slope,70012.939,69359.489,70853.683
async_runtime_integration/sync_independent_100_workers_8,v0.5.0-r1,slope,297993.655,297005.499,298889.04
async_runtime_integration/sync_independent_100_workers_8,v0.5.0-r2,slope,284866.163,281950.286,287615.456
async_runtime_integration/sync_independent_100_workers_8,v0.5.0-r3,slope,281948.478,279336.731,284534.082
compile/active_10_percent_100,v0.5.0-r1,slope,13771.397,13619.722,13927.497
compile/active_10_percent_100,v0.5.0-r2,slope,13976.225,13245.328,15036.574
compile/active_10_percent_100,v0.5.0-r3,slope,12714.631,12597.748,12847.98
compile/active_10_percent_1000,v0.5.0-r1,slope,255308.204,252480.906,258394.532
compile/active_10_percent_1000,v0.5.0-r2,slope,236571.526,232215.008,241217.871
compile/active_10_percent_1000,v0.5.0-r3,slope,238406.199,234828.213,242913.804
compile/active_10_percent_10000,v0.5.0-r1,mean,13657385.625,13516238.228,13820803.763
compile/active_10_percent_10000,v0.5.0-r2,mean,13068711.714,12850276.201,13350875.689
compile/active_10_percent_10000,v0.5.0-r3,mean,14475794.429,14385453.656,14577957.364
compile/full_100,v0.5.0-r1,slope,97556.662,96074.637,99180.765
compile/full_100,v0.5.0-r2,slope,833479.238,100836.463,3175798.017
compile/full_100,v0.5.0-r3,slope,88988.542,88113.327,90012.003
compile/full_1000,v0.5.0-r1,slope,2407018.241,2380372.575,2438723.6
compile/full_1000,v0.5.0-r2,slope,2222743.439,2207502.631,2238318.793
compile/full_1000,v0.5.0-r3,slope,2196018.199,2180057.687,2216963.061
compile/full_10000,v0.5.0-r1,mean,167852087,166266608.055,169455423.65
compile/full_10000,v0.5.0-r2,mean,171461819,168822494.685,174111511.11
compile/full_10000,v0.5.0-r3,mean,149247542,148616757.375,149920131.71
dispatch/mutex_mpsc_dequeue_chain_100_workers_1,v0.5.0-r1,slope,188183.322,181561.517,196586.991
dispatch/mutex_mpsc_dequeue_chain_100_workers_1,v0.5.0-r2,slope,342278.149,326794.362,356410.544
dispatch/mutex_mpsc_dequeue_chain_100_workers_1,v0.5.0-r3,slope,238272.299,227228.614,250198.319
dispatch/mutex_mpsc_dequeue_chain_100_workers_8,v0.5.0-r1,slope,1532463.004,1513448.297,1550888.861
dispatch/mutex_mpsc_dequeue_chain_100_workers_8,v0.5.0-r2,slope,1033236.998,948464.528,1140754.249
dispatch/mutex_mpsc_dequeue_chain_100_workers_8,v0.5.0-r3,slope,1677129.625,1657924.935,1697385.796
dispatch/mutex_mpsc_dequeue_independent_100_workers_1,v0.5.0-r1,slope,57786.87,57337.156,58278.535
dispatch/mutex_mpsc_dequeue_independent_100_workers_1,v0.5.0-r2,slope,60404.555,59845.701,61019.904
dispatch/mutex_mpsc_dequeue_independent_100_workers_1,v0.5.0-r3,slope,55221.144,54779.138,55666.995
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r1,slope,69554.152,69097.674,70126.993
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r2,slope,60761.528,60430.174,61141.9
dispatch/mutex_mpsc_dequeue_independent_100_workers_8,v0.5.0-r3,slope,66480.169,66134.034,66914.94
graph_build/chain_100,v0.5.0-r1,slope,160671.627,158439.95,163208.795
graph_build/chain_100,v0.5.0-r2,slope,147374.98,145335.544,149501.614
graph_build/chain_100,v0.5.0-r3,slope,138966.512,132984.42,146555.717
graph_build/chain_1000,v0.5.0-r1,slope,2424061.376,2387108.505,2471884.447
graph_build/chain_1000,v0.5.0-r2,slope,2369887.121,2342861.002,2401810.833
graph_build/chain_1000,v0.5.0-r3,slope,2167620.979,2143574.512,2197039.485
graph_build/chain_10000,v0.5.0-r1,mean,107782553,106629840.685,109016968.66
graph_build/chain_10000,v0.5.0-r2,mean,106118982,105142679.475,107128992.2
graph_build/chain_10000,v0.5.0-r3,mean,98855554,98069563.71,99636597.64
graph_build/collect_into_100,v0.5.0-r1,slope,11555.156,10632.009,12336.339
graph_build/collect_into_100,v0.5.0-r2,slope,11031.482,10100.503,11874.185
graph_build/collect_into_100,v0.5.0-r3,slope,7441.265,7039.584,7777.24
graph_build/connect_nodes_100_pairs,v0.5.0-r1,slope,54182.171,51183.138,57311.946
graph_build/connect_nodes_100_pairs,v0.5.0-r2,slope,53539.158,50877.216,56180.942
