workload,allocation_calls,gross_requested_bytes,peak_live_delta_bytes,end_live_delta_bytes,iterations
diagnostic_a/active_empty/fresh/100,16,26284,25292,0,100
diagnostic_a/active_empty/reusable/100,3,7368,7368,0,100
diagnostic_b/scalar_chain/fresh/bound/100,1008,68388,46828,0,100
diagnostic_b/scalar_chain/reusable/bound/100,801,35552,13992,0,100
diagnostic_c/fanout_fanin_many/fresh/bound/100,1246,108300,46732,0,100
diagnostic_c/fanout_fanin_many/reusable/bound/100,1046,76136,14664,0,100
diagnostic_d/independent_ready_send/inline/reusable/100,509,45480,20936,0,100
diagnostic_d/independent_ready_send/mutex_mpsc_workers_1/reusable/100,514,62639,22064,0,100
diagnostic_d/independent_ready_send/mutex_mpsc_workers_8/reusable/100,515,65199,23333,0,100
graph_build/chain/100,2800,215693,81519,0,100
compile/full/100,1509,96380,92208,0,100
runtime_sync/local/reusable/named/100,901,36052,13992,0,100
runtime_sync/local/reusable/bound/100,801,35552,13992,0,100
runtime_sync/local/renderer_frame/100,1046,76136,14664,0,100
runtime_async/local/reusable/pending_once/100,901,47552,13992,0,100
runtime_async/local/reusable/mixed_80_sync_20_async/100,821,37952,13992,0,100
dispatch/mutex_mpsc_dequeue/chain/100/workers_1,805,51117,14312,0,100
dispatch/mutex_mpsc_dequeue/independent/100/workers_1,514,62261,21864,0,100
dispatch/mutex_mpsc_dequeue/chain/100/workers_8,805,51117,14312,0,100
dispatch/mutex_mpsc_dequeue/independent/100/workers_8,515,65667,23567,0,100
async_runtime/sync_chain/100/workers_1,903,104687,14312,0,100
async_runtime/sync_independent/100/workers_1,615,123447,55181,0,100
async_runtime/async_pending_chain/100/workers_1,1009,120719,83560,0,100
async_runtime/async_wake_storm_wide/100/workers_1,724,130621,92635,0,100
async_runtime/mixed_80_sync_20_async/100/workers_1,923,107087,14312,0,100
async_runtime/sync_chain/100/workers_8,903,104687,14312,0,100
async_runtime/sync_independent/100/workers_8,616,134455,32465,0,100
async_runtime/async_pending_chain/100/workers_8,1009,120719,83560,0,100
async_runtime/async_wake_storm_wide/100/workers_8,722,143287,100449,0,100
async_runtime/mixed_80_sync_20_async/100/workers_8,923,107087,14312,0,100
