workload,round,estimator,point_estimate_ns,lower_bound_ns,upper_bound_ns
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.1-e01-async-r1,slope,45158.678,44689.443,45772.875
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.1-e01-async-r2,slope,44184.387,43864.638,44531.252
runtime_async/local_fresh_mixed_80_sync_20_async_100,v0.5.1-e01-async-r3,slope,44841.102,44540.839,45157.102
runtime_async/local_fresh_pending_once_100,v0.5.1-e01-async-r1,slope,70281.195,67295.194,74067.649
runtime_async/local_fresh_pending_once_100,v0.5.1-e01-async-r2,slope,64769.621,64247.031,65325.149
runtime_async/local_fresh_pending_once_100,v0.5.1-e01-async-r3,slope,65835.705,65556.368,66145.822
runtime_async/local_fresh_ready_100,v0.5.1-e01-async-r1,slope,54650.584,54145.04,55272.016
runtime_async/local_fresh_ready_100,v0.5.1-e01-async-r2,slope,55490.248,54816.075,56202.09
runtime_async/local_fresh_ready_100,v0.5.1-e01-async-r3,slope,56392.921,55750.988,57193.771
runtime_async/local_fresh_wake_storm_independent_100,v0.5.1-e01-async-r1,slope,35696.219,35300.39,36151.334
runtime_async/local_fresh_wake_storm_independent_100,v0.5.1-e01-async-r2,slope,36370.596,36078.415,36682.355
runtime_async/local_fresh_wake_storm_independent_100,v0.5.1-e01-async-r3,slope,37604.254,37408.93,37809.679
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.1-e01-async-r1,slope,37434.961,37145.109,37759.259
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.1-e01-async-r2,slope,37318.413,37043.217,37589.377
runtime_async/local_reusable_mixed_80_sync_20_async_100,v0.5.1-e01-async-r3,slope,36668.947,36322.377,37172.258
runtime_async/local_reusable_pending_once_100,v0.5.1-e01-async-r1,slope,58074.298,57677.553,58511.405
runtime_async/local_reusable_pending_once_100,v0.5.1-e01-async-r2,slope,58371.107,57877.68,58917.988
runtime_async/local_reusable_pending_once_100,v0.5.1-e01-async-r3,slope,59189.28,58660.743,59739.115
runtime_async/local_reusable_ready_100,v0.5.1-e01-async-r1,slope,47144.473,46664.294,47742.59
runtime_async/local_reusable_ready_100,v0.5.1-e01-async-r2,slope,48293.923,47907.268,48744.916
runtime_async/local_reusable_ready_100,v0.5.1-e01-async-r3,slope,47362.063,47084.39,47660.743
runtime_async/local_reusable_wake_storm_independent_100,v0.5.1-e01-async-r1,slope,32467.475,32158.521,32807.737
runtime_async/local_reusable_wake_storm_independent_100,v0.5.1-e01-async-r2,slope,32576.746,32286.735,32934.932
runtime_async/local_reusable_wake_storm_independent_100,v0.5.1-e01-async-r3,slope,34115.768,33890.004,34341.093
